Cycle1,,,,,Cycle2,,,,,Cycle3,,,,,Cycle4,,,,,Cycle5,,,,,Cycle6,,,,,Cycle7,,,,,Cycle8,,,,,Cycle9,,,,,Cycle10,,,,,Cycle11,,,,,Cycle12,,,,,Cycle13,,,,,Cycle14,,,,,Cycle15,,,,,Cycle16,,,,,Cycle17,,,,,Cycle18,,,,,Cycle19,,,,,Cycle20,,,,,Cycle21,,,,,Cycle22,,,,,Cycle23,,,,,Cycle24,,,,,Cycle25,,,,,Cycle26,,,,,Cycle27,,,,,Cycle28,,,,,Cycle29,,,,,Cycle30,,,,,Cycle31,,,,,Cycle32,,,,,Cycle33,,,,,Cycle34,,,,,Cycle35,,,,,Cycle36,,,,,Cycle37,,,,,Cycle38,,,,,Cycle39,,,,,Cycle40,,,,
idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope,idx,TMP,del_TMP,del_TMP_accu,slope
11,26.7,-0.50,1.31,0.12,11,14.08485254,-0.37,-11.26,-1.02,11,7.719379164,0.06,-17.62,-1.60,11,10.26436,-0.24,-15.08,-1.37,11,11.84702188,-0.30,-13.50,-1.23,11,17.99949018,-0.04,-7.34,-0.67,11,16.62487694,-0.02,-8.72,-0.79,11,41.85158457,1.06,16.51,1.50,11,56.04745187,1.70,30.70,2.79,,,,,,11,51.03062183,1.81,25.69,2.34,11,51.87162953,0.40,26.53,2.41,11,25.84462863,0.70,0.50,0.05,11,23.94202181,0.53,-1.40,-0.13,11,24.3081856,0.71,-1.04,-0.09,11,26.26997284,0.30,0.93,0.08,11,30.17757213,0.06,4.83,0.44,11,34.82657779,0.95,9.48,0.86,,,,,,11,43.12931904,0.33,17.79,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7.73935269,0.23,-17.60,-1.60,11,13.12946273,0.04,-12.21,-1.11,11,16.72327914,0.26,-8.62,-0.78,,,,,,11,21.0767979,-0.01,-4.27,-0.39,11,21.09169944,0.21,-4.25,-0.39,11,24.75807558,0.18,-0.59,-0.05,11,20.13624067,-0.18,-5.21,-0.47,,,,,,11,14.65762611,0.47,-10.69,-0.97,,,,,,11,15.94126354,-0.50,-9.40,-0.85,11,22.05625069,0.21,-3.29,-0.30
12,26.2,-0.51,0.81,0.07,12,13.66971236,-0.42,-11.67,-0.97,12,7.7525397,0.03,-17.59,-1.47,12,10.3841092,0.12,-14.96,-1.25,12,11.32124456,-0.53,-14.02,-1.17,12,18.25363632,0.25,-7.09,-0.59,12,17.20803643,0.58,-8.14,-0.68,12,42.37010936,0.52,17.03,1.42,12,57.30510885,1.26,31.96,2.66,,,,,,12,53.04573494,2.02,27.70,2.31,12,52.47000405,0.60,27.13,2.26,12,27.03577749,1.19,1.69,0.14,12,24.39041617,0.45,-0.95,-0.08,12,24.97280575,0.66,-0.37,-0.03,12,26.44197548,0.17,1.10,0.09,,,,,,12,35.54750911,0.72,10.20,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7.688221979,-0.05,-17.66,-1.47,12,13.32001597,0.19,-12.02,-1.00,12,16.96129945,0.24,-8.38,-0.70,,,,,,12,21.02339847,-0.05,-4.32,-0.36,12,21.39413861,0.30,-3.95,-0.33,12,24.90975579,0.15,-0.43,-0.04,12,20.14532535,0.01,-5.20,-0.43,,,,,,12,14.98867822,0.33,-10.36,-0.86,,,,,,12,15.91989959,-0.02,-9.42,-0.79,12,22.30732321,0.25,-3.04,-0.25
13,26.0,-0.14,0.67,0.05,13,13.41572629,-0.25,-11.93,-0.92,13,8.170990336,0.42,-17.17,-1.32,13,10.78452565,0.40,-14.56,-1.12,13,11.04025158,-0.28,-14.30,-1.10,13,19.19031578,0.94,-6.15,-0.47,13,17.63099742,0.42,-7.71,-0.59,13,42.89262017,0.52,17.55,1.35,13,58.45378392,1.15,33.11,2.55,,,,,,13,54.82765069,1.78,29.48,2.27,13,53.16045786,0.69,27.82,2.14,13,27.99740368,0.96,2.65,0.20,13,24.43849115,0.05,-0.91,-0.07,13,25.15546671,0.18,-0.19,-0.01,13,26.78167465,0.34,1.44,0.11,,,,,,13,36.02677601,0.48,10.68,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7.317694607,-0.37,-18.03,-1.39,13,13.35454609,0.03,-11.99,-0.92,13,17.11544888,0.15,-8.23,-0.63,,,,,,13,21.16624113,0.14,-4.18,-0.32,13,21.15899801,-0.24,-4.18,-0.32,13,25.2903747,0.38,-0.05,0.00,13,20.2325625,0.09,-5.11,-0.39,,,,,,13,14.80830464,-0.18,-10.54,-0.81,,,,,,13,15.97043293,0.05,-9.37,-0.72,13,22.36180739,0.05,-2.98,-0.23
14,26.5,0.47,1.14,0.08,14,13.53895588,0.12,-11.80,-0.84,14,9.04609386,0.88,-16.30,-1.16,14,10.73031768,-0.05,-14.61,-1.04,14,11.14918497,0.11,-14.19,-1.01,14,19.60058262,0.41,-5.74,-0.41,14,17.44295767,-0.19,-7.90,-0.56,14,43.26322495,0.37,17.92,1.28,,,,,,,,,,,14,56.53723989,1.71,31.19,2.23,14,53.42197233,0.26,28.08,2.01,14,28.5746514,0.58,3.23,0.23,14,24.49222564,0.05,-0.85,-0.06,14,24.75364046,-0.40,-0.59,-0.04,14,27.29295055,0.51,1.95,0.14,,,,,,14,36.02414717,0.00,10.68,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7.132069105,-0.19,-18.21,-1.30,14,13.16906666,-0.19,-12.17,-0.87,14,17.2,0.08,-8.14,-0.58,,,,,,14,21.2422981,0.08,-4.10,-0.29,14,21.06111569,-0.10,-4.28,-0.31,14,25.14078667,-0.15,-0.20,-0.01,14,20.71560917,0.48,-4.63,-0.33,,,,,,14,14.77869151,-0.03,-10.57,-0.75,,,,,,14,16.09848064,0.13,-9.25,-0.66,14,22.57844932,0.22,-2.77,-0.20
15,26.6,0.13,1.27,0.08,15,13.85317172,0.31,-11.49,-0.77,15,9.416787,0.37,-15.93,-1.06,15,10.8038964,0.07,-14.54,-0.97,15,11.81502638,0.67,-13.53,-0.90,15,19.19730289,-0.40,-6.15,-0.41,15,17.07766571,-0.37,-8.27,-0.55,15,44.00726367,0.74,18.66,1.24,,,,,,,,,,,15,57.85182434,1.31,32.51,2.17,15,53.68364819,0.26,28.34,1.89,15,29.2172728,0.64,3.87,0.26,15,24.64462512,0.15,-0.70,-0.05,15,24.60881195,-0.14,-0.73,-0.05,15,27.61369571,0.32,2.27,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,7.25521834,0.12,-18.09,-1.21,15,12.86215908,-0.31,-12.48,-0.83,15,17.35126268,0.15,-7.99,-0.53,,,,,,15,21.23346523,-0.01,-4.11,-0.27,15,21.18096502,0.12,-4.16,-0.28,15,24.70473145,-0.44,-0.64,-0.04,15,21.22779631,0.51,-4.12,-0.27,,,,,,15,15.1385919,0.36,-10.21,-0.68,,,,,,15,16.29303837,0.19,-9.05,-0.60,15,23.1730631,0.59,-2.17,-0.14
16,26.2,-0.44,0.83,0.05,16,14.39374026,0.54,-10.95,-0.68,16,9.281077267,-0.14,-16.06,-1.00,16,11.32212479,0.52,-14.02,-0.88,16,12.41532424,0.60,-12.93,-0.81,16,19.12741577,-0.07,-6.22,-0.39,16,17.80300502,0.73,-7.54,-0.47,16,45.13038853,1.12,19.79,1.24,,,,,,,,,,,16,58.40893474,0.56,33.07,2.07,16,53.63108843,-0.05,28.29,1.77,16,29.50377958,0.29,4.16,0.26,16,24.54565405,-0.10,-0.80,-0.05,16,24.89320007,0.28,-0.45,-0.03,16,28.29460865,0.68,2.95,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7.370009078,0.11,-17.97,-1.12,16,12.76225399,-0.10,-12.58,-0.79,16,17.22321935,-0.13,-8.12,-0.51,,,,,,16,20.66329855,-0.57,-4.68,-0.29,16,21.36164176,0.18,-3.98,-0.25,16,24.54236839,-0.16,-0.80,-0.05,16,21.67187931,0.44,-3.67,-0.23,,,,,,16,15.15367446,0.02,-10.19,-0.64,,,,,,16,16.96550277,0.67,-8.38,-0.52,16,23.65028293,0.48,-1.69,-0.11
17,25.6,-0.56,0.28,0.02,17,14.59686085,0.20,-10.75,-0.63,17,9.186936122,-0.09,-16.16,-0.95,17,11.5655017,0.24,-13.78,-0.81,17,12.8232123,0.41,-12.52,-0.74,17,19.31489291,0.19,-6.03,-0.35,17,18.43935793,0.64,-6.90,-0.41,17,47.03092135,1.90,21.69,1.28,,,,,,,,,,,17,58.66834936,0.26,33.32,1.96,17,53.6969559,0.07,28.35,1.67,,,,,,17,24.36348535,-0.18,-0.98,-0.06,17,25.80517451,0.91,0.46,0.03,17,29.09293404,0.80,3.75,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,7.359900733,-0.01,-17.98,-1.06,17,13.01311387,0.25,-12.33,-0.73,17,17.00410197,-0.22,-8.34,-0.49,,,,,,17,19.9868776,-0.68,-5.36,-0.32,17,21.2715828,-0.09,-4.07,-0.24,17,24.69979798,0.16,-0.64,-0.04,17,21.76311268,0.09,-3.58,-0.21,,,,,,17,14.8565089,-0.30,-10.49,-0.62,,,,,,17,17.28481321,0.32,-8.06,-0.47,17,23.97386431,0.32,-1.37,-0.08
18,25.5,-0.07,0.20,0.01,18,14.02984697,-0.57,-11.31,-0.63,18,9.309227238,0.12,-16.03,-0.89,18,11.64473923,0.08,-13.70,-0.76,18,13.06129263,0.24,-12.28,-0.68,18,19.39339363,0.08,-5.95,-0.33,18,18.40286053,-0.04,-6.94,-0.39,18,48.31850279,1.29,22.97,1.28,,,,,,,,,,,18,58.69008152,0.02,33.35,1.85,18,55.24862115,1.55,29.90,1.66,,,,,,18,24.39109809,0.03,-0.95,-0.05,18,26.79717418,0.99,1.45,0.08,18,29.46739025,0.37,4.12,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,7.050334884,-0.31,-18.29,-1.02,18,13.33752615,0.32,-12.01,-0.67,18,17.00295477,0.00,-8.34,-0.46,,,,,,,,,,,18,20.96414678,-0.31,-4.38,-0.24,18,24.59102259,-0.11,-0.75,-0.04,18,21.77439081,0.01,-3.57,-0.20,,,,,,18,14.65586462,-0.20,-10.69,-0.59,,,,,,18,17.31637379,0.03,-8.03,-0.45,18,24.10419295,0.13,-1.24,-0.07
19,26.2,0.62,0.83,0.04,19,13.31639296,-0.71,-12.03,-0.63,19,9.356970008,0.05,-15.99,-0.84,19,11.75917074,0.11,-13.58,-0.71,19,12.99244101,-0.07,-12.35,-0.65,19,19.41929079,0.03,-5.92,-0.31,19,18.13497479,-0.27,-7.21,-0.38,19,49.29234728,0.97,23.95,1.26,,,,,,,,,,,19,58.82004912,0.13,33.48,1.76,19,56.55664034,1.31,31.21,1.64,,,,,,19,25.00811527,0.62,-0.34,-0.02,19,27.16956138,0.37,1.83,0.10,19,29.5464819,0.08,4.20,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,7.216376529,0.17,-18.13,-0.95,19,13.35464414,0.02,-11.99,-0.63,19,17.33045444,0.33,-8.01,-0.42,,,,,,,,,,,19,20.71461718,-0.25,-4.63,-0.24,19,24.7415426,0.15,-0.60,-0.03,19,21.78528061,0.01,-3.56,-0.19,,,,,,19,14.75311219,0.10,-10.59,-0.56,,,,,,19,17.32013014,0.00,-8.02,-0.42,19,24.48390715,0.38,-0.86,-0.05
20,26.8,0.63,1.45,0.07,20,13.41467781,0.10,-11.93,-0.60,20,9.191513348,-0.17,-16.15,-0.81,20,11.35759759,-0.40,-13.99,-0.70,20,12.74612824,-0.25,-12.60,-0.63,20,19.62921718,0.21,-5.71,-0.29,20,18.42001134,0.29,-6.92,-0.35,20,49.95425573,0.66,24.61,1.23,,,,,,,,,,,20,58.95854113,0.14,33.61,1.68,20,56.78459541,0.23,31.44,1.57,,,,,,20,25.38156619,0.37,0.04,0.00,20,27.11037283,-0.06,1.77,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7.651600305,0.44,-17.69,-0.88,20,13.2044113,-0.15,-12.14,-0.61,20,17.7308789,0.40,-7.61,-0.38,,,,,,,,,,,20,20.85600941,0.14,-4.49,-0.22,20,25.42197721,0.68,0.08,0.00,20,21.9005586,0.12,-3.44,-0.17,,,,,,20,15.16209087,0.41,-10.18,-0.51,,,,,,20,17.55530258,0.24,-7.79,-0.39,20,24.73368853,0.25,-0.61,-0.03
21,27.2,0.41,1.86,0.09,21,13.63708444,0.22,-11.71,-0.56,21,8.96793899,-0.22,-16.38,-0.78,21,11.27100179,-0.09,-14.07,-0.67,21,12.3897706,-0.36,-12.95,-0.62,21,20.11788536,0.49,-5.23,-0.25,21,18.82336103,0.40,-6.52,-0.31,21,50.7730804,0.82,25.43,1.21,,,,,,,,,,,21,59.41916565,0.46,34.08,1.62,,,,,,,,,,,21,25.31899571,-0.06,-0.02,0.00,21,27.56622663,0.46,2.22,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,7.462453626,-0.19,-17.88,-0.85,21,13.21387517,0.01,-12.13,-0.58,21,18.16833956,0.44,-7.18,-0.34,,,,,,,,,,,21,21.30925863,0.45,-4.03,-0.19,21,25.94395638,0.52,0.60,0.03,21,22.34427245,0.44,-3.00,-0.14,,,,,,21,15.41161569,0.25,-9.93,-0.47,,,,,,21,17.73290314,0.18,-7.61,-0.36,21,24.89675673,0.16,-0.45,-0.02
22,27.5,0.31,2.16,0.10,22,13.58755658,-0.05,-11.76,-0.53,22,8.876900461,-0.09,-16.47,-0.75,22,12.07142803,0.80,-13.27,-0.60,22,12.33828248,-0.05,-13.01,-0.59,22,20.39632285,0.28,-4.95,-0.22,22,19.10599893,0.28,-6.24,-0.28,22,51.58794333,0.81,26.24,1.19,,,,,,,,,,,22,59.78978116,0.37,34.45,1.57,,,,,,,,,,,22,25.16673662,-0.15,-0.18,-0.01,22,28.13626189,0.57,2.79,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,7.413213874,-0.05,-17.93,-0.82,22,13.28662047,0.07,-12.06,-0.55,22,18.19516403,0.03,-7.15,-0.32,,,,,,,,,,,22,21.89704203,0.59,-3.45,-0.16,22,25.94627069,0.00,0.60,0.03,22,22.74234548,0.40,-2.60,-0.12,,,,,,22,15.46568154,0.05,-9.88,-0.45,,,,,,22,17.68173517,-0.05,-7.66,-0.35,22,25.18684035,0.29,-0.16,-0.01
23,27.7,0.21,2.38,0.10,23,13.8469549,0.26,-11.50,-0.50,23,9.006390595,0.13,-16.34,-0.71,23,12.97823809,0.91,-12.37,-0.54,23,12.51801512,0.18,-12.83,-0.56,23,20.52874738,0.13,-4.82,-0.21,23,18.95343765,-0.15,-6.39,-0.28,23,52.39939092,0.81,27.06,1.18,,,,,,,,,,,23,59.95257544,0.16,34.61,1.50,,,,,,,,,,,23,25.26932358,0.10,-0.07,0.00,23,28.67187002,0.54,3.33,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,7.937054954,0.52,-17.41,-0.76,23,13.18475237,-0.10,-12.16,-0.53,23,18.08139055,-0.11,-7.26,-0.32,,,,,,,,,,,23,21.82015349,-0.08,-3.52,-0.15,23,26.10826017,0.16,0.76,0.03,23,23.60406847,0.86,-1.74,-0.08,,,,,,23,15.59280931,0.13,-9.75,-0.42,,,,,,23,17.75927598,0.08,-7.58,-0.33,23,25.7449201,0.56,0.40,0.02
24,28.5,0.76,3.13,0.13,24,14.59127718,0.74,-10.75,-0.45,24,9.091104141,0.08,-16.25,-0.68,24,13.61829334,0.64,-11.73,-0.49,24,12.45194175,-0.07,-12.89,-0.54,24,20.3642841,-0.16,-4.98,-0.21,24,19.04619188,0.09,-6.30,-0.26,24,53.22122989,0.82,27.88,1.16,,,,,,,,,,,24,60.28185903,0.33,34.94,1.46,,,,,,,,,,,24,25.49021479,0.22,0.15,0.01,24,29.08604783,0.41,3.74,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8.06397136,0.13,-17.28,-0.72,24,13.00700469,-0.18,-12.34,-0.51,24,18.20154093,0.12,-7.14,-0.30,,,,,,,,,,,24,21.43432487,-0.39,-3.91,-0.16,24,26.50125684,0.39,1.16,0.05,24,24.66352612,1.06,-0.68,-0.03,,,,,,24,15.98338222,0.39,-9.36,-0.39,,,,,,24,17.97987684,0.22,-7.36,-0.31,24,26.36589834,0.62,1.02,0.04
25,30.7,2.25,5.38,0.22,25,14.77610753,0.18,-10.57,-0.42,25,8.879092552,-0.21,-16.46,-0.66,25,13.79610965,0.18,-11.55,-0.46,25,12.27357277,-0.18,-13.07,-0.52,25,19.89605617,-0.47,-5.45,-0.22,25,19.88768505,0.84,-5.46,-0.22,25,54.06191922,0.84,28.72,1.15,,,,,,,,,,,25,60.51069272,0.23,35.17,1.41,,,,,,,,,,,25,25.63341547,0.14,0.29,0.01,25,29.28597927,0.20,3.94,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,7.639756272,-0.42,-17.70,-0.71,25,12.99091125,-0.02,-12.35,-0.49,25,18.56925308,0.37,-6.77,-0.27,,,,,,,,,,,25,21.31278248,-0.12,-4.03,-0.16,25,26.97221465,0.47,1.63,0.07,25,25.93000703,1.27,0.59,0.02,,,,,,25,16.22330229,0.24,-9.12,-0.36,,,,,,25,18.33031431,0.35,-7.01,-0.28,25,26.51038598,0.14,1.17,0.05
26,33.7,2.99,8.37,0.32,26,14.45452817,-0.32,-10.89,-0.42,26,8.790714079,-0.09,-16.55,-0.64,26,13.66681054,-0.13,-11.68,-0.45,26,12.70624645,0.43,-12.64,-0.49,26,19.48697993,-0.41,-5.86,-0.23,26,20.80968948,0.92,-4.53,-0.17,26,54.64670595,0.58,29.30,1.13,,,,,,,,,,,26,60.50658491,0.00,35.16,1.35,,,,,,,,,,,26,25.84537467,0.21,0.50,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,7.402069439,-0.24,-17.94,-0.69,26,12.76112734,-0.23,-12.58,-0.48,26,18.68326907,0.11,-6.66,-0.26,,,,,,,,,,,26,21.33571479,0.02,-4.01,-0.15,26,27.23288671,0.26,1.89,0.07,26,27.2245115,1.29,1.88,0.07,,,,,,26,16.3966976,0.17,-8.95,-0.34,,,,,,26,18.46186021,0.13,-6.88,-0.26,26,26.73989673,0.23,1.40,0.05
27,35.9,2.18,10.55,0.39,27,14.20518608,-0.25,-11.14,-0.41,27,8.978788847,0.19,-16.37,-0.61,27,13.59747571,-0.07,-11.75,-0.44,27,13.10993929,0.40,-12.23,-0.45,27,19.38728101,-0.10,-5.96,-0.22,27,21.12703059,0.32,-4.22,-0.16,27,55.17962385,0.53,29.84,1.11,,,,,,,,,,,27,60.36149426,-0.15,35.02,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,7.203135806,-0.20,-18.14,-0.67,27,12.62317634,-0.14,-12.72,-0.47,27,18.67813593,-0.01,-6.67,-0.25,,,,,,,,,,,27,21.46364011,0.13,-3.88,-0.14,27,27.45524633,0.22,2.11,0.08,27,28.1670736,0.94,2.82,0.10,,,,,,27,16.39432951,0.00,-8.95,-0.33,,,,,,27,18.43039131,-0.03,-6.91,-0.26,27,26.86514221,0.13,1.52,0.06
28,37.8,1.88,12.43,0.44,28,14.64090781,0.44,-10.70,-0.38,28,9.067777512,0.09,-16.28,-0.58,28,13.74254158,0.15,-11.60,-0.41,28,12.90155998,-0.21,-12.44,-0.44,28,19.33456867,-0.05,-6.01,-0.21,28,21.03106753,-0.10,-4.31,-0.15,,,,,,,,,,,,,,,,28,60.05361989,-0.31,34.71,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,7.290761947,0.09,-18.05,-0.64,28,12.79794552,0.17,-12.55,-0.45,28,18.89268377,0.21,-6.45,-0.23,,,,,,,,,,,28,21.54304782,0.08,-3.80,-0.14,28,27.54960034,0.09,2.21,0.08,28,28.51815527,0.35,3.17,0.11,,,,,,28,16.14354363,-0.25,-9.20,-0.33,,,,,,28,18.47748769,0.05,-6.87,-0.25,28,27.4521915,0.59,2.11,0.08
29,38.6,0.82,13.25,0.46,29,15.08294978,0.44,-10.26,-0.35,29,8.805805527,-0.26,-16.54,-0.57,29,13.92217785,0.18,-11.42,-0.39,29,12.4074388,-0.49,-12.94,-0.45,29,19.54801686,0.21,-5.80,-0.20,29,21.3055207,0.27,-4.04,-0.14,,,,,,,,,,,,,,,,29,60.03991586,-0.01,34.70,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,7.649697072,0.36,-17.69,-0.61,29,12.86551692,0.07,-12.48,-0.43,29,18.9937894,0.10,-6.35,-0.22,,,,,,,,,,,29,21.27255506,-0.27,-4.07,-0.14,29,28.24430337,0.69,2.90,0.10,29,28.53081149,0.01,3.19,0.11,,,,,,29,15.96239057,-0.18,-9.38,-0.32,,,,,,29,18.6839132,0.21,-6.66,-0.23,29,28.05254276,0.60,2.71,0.09
,,,,,30,14.90198136,-0.18,-10.44,-0.35,30,8.863509808,0.06,-16.48,-0.55,30,14.00010723,0.08,-11.34,-0.38,30,12.78279011,0.38,-12.56,-0.42,30,20.09992017,0.55,-5.24,-0.17,30,21.62662459,0.32,-3.72,-0.12,,,,,,,,,,,,,,,,30,60.48617713,0.45,35.14,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,7.722820528,0.07,-17.62,-0.59,30,13.203819,0.34,-12.14,-0.40,30,18.85045123,-0.14,-6.49,-0.22,,,,,,,,,,,30,21.25982479,-0.01,-4.08,-0.14,30,28.98419321,0.74,3.64,0.12,30,29.21558718,0.68,3.87,0.13,,,,,,30,16.23879723,0.28,-9.11,-0.30,,,,,,30,18.91681632,0.23,-6.43,-0.21,30,28.47350772,0.42,3.13,0.10
,,,,,31,14.10440585,-0.80,-11.24,-0.36,31,8.957958695,0.09,-16.39,-0.53,31,14.05134274,0.05,-11.29,-0.36,31,13.62630287,0.84,-11.72,-0.38,31,20.64353481,0.54,-4.70,-0.15,31,21.49605751,-0.13,-3.85,-0.12,,,,,,,,,,,,,,,,31,60.78186875,0.30,35.44,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,7.541318394,-0.18,-17.80,-0.57,31,13.94606613,0.74,-11.40,-0.37,31,18.9703153,0.12,-6.37,-0.21,,,,,,,,,,,31,21.43126853,0.17,-3.91,-0.13,,,,,,31,30.66329854,1.45,5.32,0.17,,,,,,31,16.66901257,0.43,-8.67,-0.28,,,,,,31,19.32580283,0.41,-6.02,-0.19,,,,,
,,,,,32,13.66372868,-0.44,-11.68,-0.37,32,8.926211391,-0.03,-16.42,-0.51,32,14.29945025,0.25,-11.04,-0.35,32,13.97848777,0.35,-11.37,-0.36,32,20.37992135,-0.26,-4.96,-0.16,32,21.40016903,-0.10,-3.94,-0.12,,,,,,,,,,,,,,,,32,60.85298682,0.07,35.51,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,7.592619102,0.05,-17.75,-0.55,32,14.41963465,0.47,-10.92,-0.34,32,19.38465421,0.41,-5.96,-0.19,,,,,,,,,,,32,21.62468382,0.19,-3.72,-0.12,,,,,,32,32.14493344,1.48,6.80,0.21,,,,,,32,17.10710649,0.44,-8.24,-0.26,,,,,,32,19.5370687,0.21,-5.81,-0.18,,,,,
,,,,,33,14.09552023,0.43,-11.25,-0.34,33,8.847298133,-0.08,-16.50,-0.50,33,14.86725836,0.57,-10.48,-0.32,33,13.90660606,-0.07,-11.44,-0.35,33,19.41422469,-0.97,-5.93,-0.18,33,21.65376153,0.25,-3.69,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,7.760785225,0.17,-17.58,-0.53,33,14.29267536,-0.13,-11.05,-0.33,33,19.76484714,0.38,-5.58,-0.17,,,,,,,,,,,33,22.04678303,0.42,-3.30,-0.10,,,,,,33,33.53145907,1.39,8.19,0.25,,,,,,33,17.28810766,0.18,-8.06,-0.24,,,,,,33,19.66028892,0.12,-5.68,-0.17,,,,,
