Cycle,TMP,Kb,Ki,Kc,Ks,y_pred,COD,TN,SS,del_TMP,del_TMP_accu,slope
28,7.754977134,1.68E-09,23.57576016,1.08E-08,0.001648363,7.641287346,107.0533333,55.106,184.2133333,-0.01388461,0.040470644,0.00112418456
28,7.676626362,-7.19E-11,-18.97902472,-0.000263949,0.002406913,7.652480906,110.48,54.614,190.88,-0.078350772,-0.037880128,-0.00102378724
28,7.656974645,-1.22E-09,-53.84399792,-0.000313652,0.002783004,7.660756332,114.1733333,54.652,200.66,-0.019651717,-0.057531845,-0.00151399592
28,7.927876166,6.57E-09,220.4516798,2.58E-07,7.69E-08,7.693541146,117.4666667,54.712,205.7733333,0.270901521,0.213369676,0.00547101733
28,8.243596801,1.64E-09,468.8596474,1.01E-05,2.62E-08,7.756025955,119.3866667,55.22,213.3266667,0.315720635,0.529090311,0.0132272578
28,8.292204758,2.54E-09,409.6094427,0.000624096,1.13E-05,7.816903286,120.92,55.606,212.66,0.048607957,0.577698268,0.0140902017
28,8.423212536,1.25E-08,727.1787851,4.89E-09,2.38E-09,8.072721975,120.6866667,55.764,211.1066667,0.131007778,0.708706046,0.0168739535
28,8.592261043,1.14E-08,269.9508107,0.000961718,1.43E-05,7.971250669,117.56,55.274,210.22,0.169048507,0.877754553,0.0204128966
28,8.676947865,2.71E-08,862.2372699,8.68E-09,9.05E-09,8.450411322,119.8866667,56.236,216.22,0.084686822,0.962441375,0.0218736676
28,8.566024329,2.25E-08,823.7154574,1.78E-09,1.45E-08,8.396577566,120.58,56.17,218.44,-0.110923536,0.851517839,0.0189226186
28,8.69491316,1.23E-08,913.6423928,1.27E-08,1.16E-08,8.305757658,118.7133333,56.298,214.22,0.128888831,0.98040667,0.0213131885
28,8.825712702,3.59E-10,170.560317,1.33E-08,0.004997936,8.310847581,120.3133333,56.588,217.1133333,0.130799542,1.111206212,0.0236426854
28,8.589030915,8.55E-10,210.5588466,1.07E-08,0.004900456,8.360422307,119.3066667,55.926,214.2266667,-0.236681787,0.874524425,0.0182192589
28,8.292194469,2.49E-09,179.0600496,4.55E-09,0.004721917,8.380907304,120.5666667,55.36,217.78,-0.296836446,0.577687979,0.0117895506
28,8.243333563,1.20E-09,9.832437441,5.63E-09,0.005491374,8.413004801,121.16,54.664,218.6666667,-0.048860906,0.528827073,0.0105765415
28,8.207206172,1.23E-08,416.1608926,0.001742451,1.26E-08,8.376453009,123.8066667,53.982,224.8933333,-0.036127391,0.492699682,0.00966077808
28,8.315466711,2.32E-09,1.055598244,3.01E-09,0.005183712,8.439530977,120.8733333,53.084,217.56,0.108260539,0.600960221,0.0115569273
28,8.491928522,1.51E-08,560.394057,0.000457201,2.76E-09,8.429662682,120.94,53.158,214.8933333,0.176461811,0.777422032,0.0146683402
28,8.531060224,3.14E-09,2.88E-05,2.88E-06,0.005084156,8.504095725,122.4,53.59,212.0066667,0.039131702,0.816553734,0.0151213654
28,8.328394268,6.72E-09,340.5962701,3.16E-09,0.003074289,8.487252864,121.1066667,53.414,210.9,-0.202665956,0.613887778,0.011161596
28,8.154443052,4.50E-09,24.23697522,3.86E-10,0.004568455,8.511061742,120.1933333,53.328,211.5666667,-0.173951216,0.439936562,0.00785601004
28,8.1714316,1.07E-09,306.7063815,5.42E-05,0.00372112,8.486976369,121.56,53.724,215.12,0.016988548,0.45692511,0.00801623
28,8.338097816,9.74E-10,28.68723064,1.22E-08,0.004915582,8.544063214,121.6,52.876,213.34,0.166666216,0.623591326,0.0107515746
28,8.369735382,2.26E-09,331.2366506,3.21E-06,0.003341445,8.508515025,122.12,52.938,215.12,0.031637566,0.655228892,0.0111055744
28,8.361486175,1.21E-08,437.2933707,0.001028141,1.97E-05,8.517054737,124.0666667,53.548,220.0066667,-0.008249207,0.646979685,0.0107829947
28,8.299977261,6.34E-10,285.4696577,0.000100323,0.003546823,8.535254672,125.0066667,54.21,225.56,-0.061508914,0.585470771,0.00959788149
28,8.07690253,7.09E-09,247.7006371,0.000116836,0.002522847,8.522748311,124.8066667,54.57,227.3333333,-0.223074731,0.36239604,0.00584509742
28,7.954256707,2.61E-09,33.98796027,0.000165427,0.003842333,8.521731208,124.4933333,55.196,228.6666667,-0.122645823,0.239750217,0.003805559
28,8.100020842,2.50E-09,107.4311668,0.001288755,0.002479883,8.502572335,121.96,54.312,223.3333333,0.145764135,0.385514352,0.00602366175
28,8.353543361,2.37E-09,248.5953897,0.000689061,0.002354838,8.509839694,121.7333333,54.7,224.6666667,0.253522519,0.639036871,0.00983133648
28,8.538674569,2.41E-09,539.0702004,0.001523132,1.64E-05,8.52299014,119.6266667,54.252,220.8866667,0.185131208,0.824168079,0.0124873951
28,8.700012719,1.78E-08,537.9457437,1.30E-08,1.07E-08,8.728380859,119.3333333,53.67,221.7733333,0.16133815,0.985506229,0.0147090482
28,8.761421035,3.67E-09,672.0436956,0.000678165,9.94E-05,8.584500448,118.7666667,53.358,223.7733333,0.061408316,1.046914545,0.0153958021
28,8.571725787,1.74E-09,502.070934,0.001744107,0.000235687,8.60769417,117.1333333,52.348,229.9933333,-0.189695248,0.857219297,0.0124234681
